"filename", "language", "Python", "Batch", "PowerShell", "Properties", "JSON", "XML", "HTML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Dev\CirclePlan\members\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Dev\CirclePlan\members\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Dev\CirclePlan\members\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Dev\CirclePlan\members\urls.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Dev\CirclePlan\members\views.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Dev\CirclePlan\static\admin\css\autocomplete.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 48, 261
"c:\Dev\CirclePlan\static\admin\css\base.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 761, 0, 22, 184, 967
"c:\Dev\CirclePlan\static\admin\css\changelists.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 282, 0, 7, 62, 351
"c:\Dev\CirclePlan\static\admin\css\dashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 2, 7, 27
"c:\Dev\CirclePlan\static\admin\css\fonts.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Dev\CirclePlan\static\admin\css\forms.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 412, 0, 11, 104, 527
"c:\Dev\CirclePlan\static\admin\css\login.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 1, 14, 80
"c:\Dev\CirclePlan\static\admin\css\nav_sidebar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 18, 111
"c:\Dev\CirclePlan\static\admin\css\responsive.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 765, 0, 28, 224, 1017
"c:\Dev\CirclePlan\static\admin\css\responsive_rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 2, 16, 84
"c:\Dev\CirclePlan\static\admin\css\rtl.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 193, 0, 9, 58, 260
"c:\Dev\CirclePlan\static\admin\css\vendor\select2\LICENSE-SELECT2.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 5, 22
